qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q2sec,q1_rank
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839,75.582,75.322,3
112,23,5,1,23,4,1:15.295,1:15.389,1:16.165,75.295,75.389,2
113,23,9,2,4,5,1:15.977,1:15.483,1:16.171,75.977,75.483,6
114,23,3,3,7,6,1:15.935,1:15.287,1:16.548,75.935,75.287,5
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852,76.646,75.827,13
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203,76.306,75.598,12
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343,76.074,75.745,7
118,23,14,9,9,10,1:16.086,1:15.839,\N,76.086,75.839,8
119,23,10,7,12,11,1:16.285,1:15.907,\N,76.285,75.907,11
120,23,18,11,16,12,1:16.259,1:16.101,\N,76.259,76.101,10
121,23,2,2,3,13,1:16.650,1:16.455,\N,76.65,76.455,14
122,23,6,3,8,14,1:16.756,1:16.479,\N,76.756,76.479,15
123,23,22,11,17,15,1:16.208,1:16.537,\N,76.208,76.537,9
124,23,7,5,14,16,1:16.806,\N,\N,76.806,NA,16
125,23,12,4,6,17,1:16.933,\N,\N,76.93299999999999,NA,17
126,23,20,5,15,18,1:16.955,\N,\N,76.955,NA,18
127,23,16,10,20,19,1:17.225,\N,\N,77.225,NA,19
128,23,21,10,21,20,1:17.823,\N,\N,77.82300000000001,NA,20
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886,76.90899999999999,77.03399999999999,1
130,24,9,2,4,2,1:17.471,1:17.679,1:18.498,77.471,77.679,6
131,24,8,6,1,3,1:17.301,1:17.364,1:18.735,77.301,77.364,4
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746,77.41499999999999,77.488,5
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844,77.991,77.89099999999999,9
134,24,13,6,2,6,1:17.231,1:17.353,1:19.048,77.231,77.35300000000001,2
135,24,5,1,23,7,1:17.287,1:17.684,1:19.089,77.287,77.684,3
136,24,2,2,3,8,1:18.082,1:17.781,1:19.633,78.082,77.781,11
137,24,22,11,17,9,1:18.256,1:18.020,1:20.848,78.256,78.02,13
138,24,17,9,10,10,1:17.582,1:17.523,\N,77.582,77.523,7
139,24,10,7,12,11,1:18.321,1:18.031,\N,78.321,78.031,14
140,24,6,3,8,12,1:17.638,1:18.062,\N,77.638,78.062,8
141,24,14,9,9,13,1:18.168,1:18.238,\N,78.168,78.238,12
142,24,15,7,11,14,1:18.039,1:18.327,\N,78.039,78.327,10
143,24,12,4,6,15,1:18.505,1:18.393,\N,78.505,78.393,15
144,24,7,5,14,16,1:18.916,\N,\N,78.916,NA,16
145,24,16,10,20,17,1:19.108,\N,\N,79.108,NA,17
146,24,21,10,21,18,1:19.165,\N,\N,79.16499999999999,NA,18
