qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q3sec
9078,1070,830,9,33,3,1:16.788,1:16.483,1:16.225,76.788,76.225
9097,1071,830,9,33,2,1:09.329,1:08.499,1:08.372,69.32900000000001,68.372
9117,1051,830,9,33,2,1:21.996,1:21.984,1:21.282,81.996,81.282
9138,1072,830,9,33,3,1:28.285,1:27.953,1:27.653,88.285,87.65299999999999
9156,1073,830,9,33,1,1:23.322,1:22.800,1:22.109,83.322,82.10900000000001
9177,1074,830,9,1,2,1:31.785,1:30.757,1:30.681,91.785,90.681
9216,1075,830,9,1,4,1:28.928,1:28.945,1:28.461,88.928,88.461
9234,1076,830,9,1,2,1:18.580,1:18.611,1:18.154,78.58,78.154
9253,1077,830,9,1,1,1:19.295,1:18.793,1:27.999,79.295,87.999
9275,1078,830,9,1,3,1:29.836,1:29.202,1:28.991,89.836,88.991
9294,1079,830,9,1,2,1:20.091,1:19.219,1:19.073,80.09100000000001,79.07300000000001
9316,1080,830,9,1,4,1:12.993,1:12.117,1:11.666,72.993,71.666
9335,1081,830,9,1,3,1:42.722,1:42.227,1:41.706,102.72200000000001,101.706
9353,1082,830,9,1,1,1:32.219,1:23.746,1:21.299,92.219,81.299
9374,1083,830,9,1,2,1:39.129,1:40.655,1:41.055,99.12899999999999,101.055
9393,1084,830,9,1,1,1:05.852,1:05.374,1:04.984,65.852,64.984
9414,1085,830,9,1,2,1:31.891,1:31.990,1:31.176,91.89099999999999,91.176
9442,1086,830,9,1,10,1:18.509,1:17.703,1:18.823,78.509,78.82300000000001
9453,1087,830,9,1,1,1:44.581,1:44.723,1:43.665,104.581,103.66499999999999
9473,1088,830,9,1,1,1:11.317,1:10.927,1:10.342,71.31700000000001,70.342
9494,1089,830,9,1,2,1:20.922,1:21.265,1:20.306,80.922,80.306
9520,1091,830,9,1,8,1:53.057,1:52.723,1:51.395,113.057,111.39500000000001
9533,1092,830,9,1,1,1:30.224,1:30.346,1:29.304,90.224,89.304
9555,1093,830,9,1,3,1:35.864,1:35.294,1:34.448,95.864,94.44800000000001
9573,1094,830,9,1,1,1:19.222,1:18.566,1:17.775,79.22200000000001,77.775
9594,1095,830,9,1,2,1:13.625,1:10.881,1:11.877,73.625,71.877
9613,1096,830,9,1,1,1:24.754,1:24.622,1:23.824,84.754,83.824
9633,1098,830,9,1,1,1:31.295,1:30.503,1:29.708,91.295,89.708
9673,1100,830,9,1,1,1:17.384,1:17.056,1:16.732,77.384,76.732
9694,1101,830,9,1,2,1:41.398,1:40.822,1:40.391,101.398,100.39099999999999
9733,1104,830,9,1,1,1:12.386,1:11.908,1:11.365,72.386,71.365
9753,1105,830,9,1,1,1:13.615,1:12.760,1:12.272,73.615,72.272
9773,1106,830,9,1,1,1:20.851,1:19.092,1:25.858,80.851,85.858
9793,1107,830,9,1,1,1:05.116,1:04.951,1:04.391,65.116,64.391
9813,1108,830,9,1,1,1:29.428,1:27.702,1:26.720,89.428,86.72
9834,1109,830,9,1,2,1:18.318,1:17.547,1:16.612,78.318,76.612
9853,1110,830,9,1,1,1:58.515,1:52.784,1:46.168,118.515,106.168
