raceId,q1sec,q3sec,q2sec,q1_q3_diff,q2_q3_diff
46,79.57,79.674,79.301,-0.10400000000001342,-0.37300000000000466
47,87.294,87.32900000000001,86.84100000000001,-0.0350000000000108,-0.48799999999999955
48,81.718,81.997,81.356,-0.27899999999999636,-0.6410000000000053
49,106.05799999999999,105.994,105.07,0.06399999999999295,-0.9240000000000066
50,85.35900000000001,85.368,84.753,-0.00899999999998613,-0.6149999999999949
51,95.69200000000001,95.908,95.381,-0.21599999999999397,-0.527000000000001
52,72.303,71.931,72.161,0.3719999999999999,0.23000000000000398
53,92.43299999999999,91.431,91.215,1.0019999999999953,-0.21599999999999397
54,94.536,93.84,93.527,0.695999999999998,-0.3130000000000024
55,87.07900000000001,85.229,85.729,1.8500000000000085,0.5
56,83.536,82.795,82.57900000000001,0.7409999999999997,-0.21599999999999397
57,91.138,89.816,90.013,1.3220000000000027,0.19700000000000273
58,75.816,74.648,74.637,1.1680000000000064,-0.01099999999999568
59,73.887,73.962,73.532,-0.07500000000000284,-0.4300000000000068
60,81.018,80.253,80.271,0.7650000000000006,0.018000000000000682
61,75.35,74.94200000000001,74.726,0.40799999999998704,-0.21600000000000819
62,71.088,70.832,70.636,0.2560000000000002,-0.19599999999999795
63,75.55,75.493,75.111,0.05700000000000216,-0.3819999999999908
64,74.412,74.07,73.778,0.34200000000001296,-0.2919999999999874
65,79.742,79.599,79.504,0.14300000000000068,-0.09499999999999886
66,87.306,86.907,85.85,0.3990000000000009,-1.0570000000000022
67,81.711,81.48400000000001,81.225,0.22699999999998965,-0.25900000000001455
68,104.128,104.36,103.951,-0.23199999999999932,-0.409000000000006
69,90.112,89.599,88.95400000000001,0.512999999999991,-0.644999999999996
70,70.643,70.68,70.313,-0.03700000000000614,-0.36700000000000443
337,114.612,114.101,113.88300000000001,0.5109999999999957,-0.2179999999999893
338,84.774,83.919,84.096,0.855000000000004,0.1770000000000067
340,95.64099999999999,94.55799999999999,94.928,1.0829999999999984,0.37000000000000455
341,81.412,79.995,80.655,1.4170000000000016,0.6599999999999966
342,74.757,73.826,74.375,0.9310000000000116,0.5490000000000066
343,87.06700000000001,86.295,86.729,0.7720000000000056,0.4339999999999975
344,75.889,75.105,75.528,0.7839999999999918,0.4230000000000018
345,98.132,97.587,98.015,0.5450000000000017,0.42799999999999727
346,90.84100000000001,89.615,90.114,1.2260000000000133,0.49900000000000944
347,74.80799999999999,73.791,74.081,1.016999999999996,0.29000000000000625
348,80.417,78.773,79.531,1.6440000000000055,0.7580000000000098
350,82.42099999999999,81.962,82.297,0.458999999999989,0.33499999999999375
351,106.541,105.39,105.561,1.1509999999999962,0.17100000000000648
352,92.035,90.785,91.184,1.25,0.3990000000000009
353,97.113,95.58500000000001,96.039,1.5279999999999916,0.4539999999999935
355,100.17,99.394,99.874,0.7759999999999962,0.47999999999998977
841,85.29599999999999,83.529,84.09,1.766999999999996,0.561000000000007
842,96.744,94.87,95.569,1.8739999999999952,0.6989999999999981
843,95.27199999999999,93.706,94.48599999999999,1.5659999999999883,0.7799999999999869
844,87.013,85.049,85.61,1.9639999999999986,0.5609999999999928
845,82.96000000000001,80.981,81.53999999999999,1.9790000000000134,0.5589999999999975
846,75.207,73.556,74.275,1.6509999999999962,0.7190000000000083
847,73.822,73.014,73.431,0.8080000000000069,0.4170000000000016
848,98.413,96.975,97.305,1.4380000000000024,0.3300000000000125
850,91.826,90.07900000000001,90.998,1.7469999999999857,0.9189999999999969
851,81.578,79.815,80.262,1.7630000000000052,0.44700000000000273
853,83.976,82.275,82.914,1.7009999999999934,0.6389999999999958
854,106.39699999999999,104.381,104.931,2.015999999999991,0.5499999999999972
855,92.626,90.46600000000001,91.139,2.1599999999999966,0.6729999999999876
856,97.525,95.82,96.52600000000001,1.7050000000000125,0.7060000000000173
857,86.189,84.178,84.657,2.0109999999999957,0.4789999999999992
858,99.782,98.481,98.434,1.301000000000002,-0.046999999999997044
859,73.281,71.918,72.446,1.3629999999999995,0.5279999999999916
860,86.182,84.922,85.469,1.2600000000000051,0.546999999999997
861,97.172,96.219,96.715,0.953000000000003,0.4960000000000093
862,96.19800000000001,95.12100000000001,95.7,1.0769999999999982,0.5789999999999935
863,93.814,92.422,93.209,1.391999999999996,0.7870000000000061
864,82.583,81.707,82.105,0.8760000000000048,0.39800000000001035
865,75.418,74.301,74.911,1.1170000000000044,0.6099999999999994
866,74.661,73.784,74.187,0.8769999999999953,0.4029999999999916
867,98.825,98.086,98.489,0.7390000000000043,0.4030000000000058
870,81.794,80.953,81.06,0.840999999999994,0.10699999999999932
871,108.993,107.57300000000001,107.654,1.4199999999999875,0.08099999999998886
872,84.175,84.01,84.242,0.16499999999999204,0.23199999999999932
873,107.688,106.362,106.66499999999999,1.3260000000000076,0.30299999999999727
874,92.029,90.839,91.501,1.1899999999999977,0.6620000000000061
875,98.208,97.24199999999999,97.767,0.9660000000000082,0.5250000000000057
876,86.048,85.283,85.435,0.7650000000000006,0.15200000000000102
